ID,Date (GMT),Time (24hr),Duration (hrs),Step Int (hrs),ConfP (psi),ActP (psi),Load (lbs),SmallLVDT (in),LargeLVDT (in),LVTemp (C),UVTemp (C),PistonTemp (C),LCTemp (C),AmbTemp (C),DilaFBK (in),ISCO Volume (V),DnStream Flow (SCCM),DwnStream Temp (C)
86,2014-11-25T04:23:22.000,9:23:22 PM,115.756,103.636,2892.84,238.662,26793.1,1.84551E-005,0.325055,248.2,246.3,188.8,27.3,0,2.99561,6.07971,0.00915527,
87,2014-11-25T04:33:22.000,9:33:22 PM,115.886,103.766,2906.07,238.662,27000.9,-9.83998E-005,0.325238,249.7,250.1,188.7,27.5,0,2.96417,6.07971,0.00915527,
88,2014-11-25T04:43:22.000,9:43:22 PM,116.016,103.896,2909.15,239.893,26990.4,-0.000252165,0.325238,250.1,249.2,188.7,27.4,0,2.99561,6.07971,0.00915527,
89,2014-11-25T04:53:22.000,9:53:22 PM,116.146,104.027,2899.3,234.969,26715.6,-0.000252165,0.325238,249.2,249.8,188.7,27.4,0,2.99561,6.07971,0.00915527,
90,2014-11-25T05:03:22.000,10:03:22 PM,116.276,104.157,2899.3,239.893,26902.3,-7.99522E-005,0.325055,248.8,248.7,188.7,27.4,0,3.01178,6.07971,0.00915527,
91,2014-11-25T05:13:22.000,10:13:22 PM,116.406,104.287,2896.53,236.815,26705,-0.000153758,0.325238,249.6,245.8,188.5,27.2,0,2.94525,6.07971,0.00915527,
92,2014-11-25T05:23:22.000,10:23:22 PM,116.536,104.417,2908.22,240.816,27022.1,-0.000116855,0.325238,250,250.1,188.5,27.2,0,2.95563,6.07971,0.00915527,
93,2014-11-25T05:33:22.000,10:33:22 PM,116.666,104.546,2890.68,235.892,26747.3,-0.000172205,0.325238,248.5,243.9,188.4,27.1,0,2.93274,6.08032,0.00915527,
94,2014-11-25T05:43:22.000,10:43:22 PM,116.796,104.676,2911.92,236.815,26867.1,-0.000135303,0.325238,249.9,249.6,188.5,27.2,0,2.90619,6.07971,0.00915527,
95,2014-11-25T05:53:22.000,10:53:22 PM,116.926,104.807,2899.3,236.815,26856.5,-0.000209108,0.325238,250.6,249.9,188.5,27.3,0,2.95837,6.07971,0.00915527,
96,2014-11-25T06:03:22.000,11:03:22 PM,117.057,104.937,2898.38,234.969,26757.8,-0.000227563,0.325238,249.3,246.4,188.5,27.3,0,3.00415,6.07971,0.00915527,
97,2014-11-25T06:13:22.000,11:13:22 PM,117.186,105.067,2909.15,239.893,26934,-0.00019066,0.325055,249.9,249.2,188.5,27.2,0,3.01941,6.07971,0.00915527,
98,2014-11-25T06:23:22.000,11:23:22 PM,117.317,105.197,2893.76,233.123,26581.7,-0.000153758,0.325055,250,247.1,188.5,27.2,0,3.01086,6.07971,0.00915527,
99,2014-11-25T06:33:22.000,11:33:22 PM,117.447,105.327,2894.68,235.892,26694.4,-0.000135303,0.325055,252.5,245.7,188.5,27.3,0,3.00598,6.07971,0.00915527,
100,2014-11-25T06:43:22.000,11:43:22 PM,117.577,105.457,2896.53,235.892,26814.2,-0.000209108,0.325055,252.9,250.1,188.5,27.2,0,2.97943,6.07971,0.00915527,
101,2014-11-25T06:53:22.000,11:53:22 PM,117.707,105.587,2890.68,237.739,26814.2,-0.000153758,0.325055,249.9,247.3,188.5,27.2,0,3.00232,6.07971,0.00915527,
102,2014-11-25T07:03:22.000,12:03:22 AM,117.837,105.717,2906.07,237.739,26881.1,-0.000116855,0.325238,249.8,247.3,188.5,27.2,0,2.99469,6.07971,0.00915527,
103,2014-11-25T07:13:22.000,12:13:22 AM,117.967,105.848,2895.61,237.739,26912.9,-9.83998E-005,0.325238,249.5,248.1,188.5,27.2,0,2.96906,6.07971,0.00915527,
104,2014-11-25T07:23:22.000,12:23:22 AM,118.098,105.978,2888.84,236.815,26803.6,-7.99522E-005,0.325238,251.8,244,188.3,27.2,0,2.95288,6.07971,0.00915527,
